"filename", "language", "Markdown", "PostCSS", "JavaScript", "HTML", "JSON", "XML", "comment", "blank", "total"
"d:\WP-1_HTML\Shop-Easy-main\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\WP-1_HTML\Shop-Easy-main\TODO-background.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 3, 11
"d:\WP-1_HTML\Shop-Easy-main\TODO-fix-products.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 3, 8
"d:\WP-1_HTML\Shop-Easy-main\TODO-grid.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 3, 11
"d:\WP-1_HTML\Shop-Easy-main\TODO.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 3, 8
"d:\WP-1_HTML\Shop-Easy-main\about.html", "HTML", 0, 0, 0, 99, 0, 0, 3, 16, 118
"d:\WP-1_HTML\Shop-Easy-main\contact.html", "HTML", 0, 0, 0, 215, 0, 0, 3, 38, 256
"d:\WP-1_HTML\Shop-Easy-main\index.html", "HTML", 0, 0, 0, 337, 0, 0, 9, 78, 424
"d:\WP-1_HTML\Shop-Easy-main\offers.html", "HTML", 0, 0, 0, 102, 0, 0, 3, 16, 121
"d:\WP-1_HTML\Shop-Easy-main\products.html", "HTML", 0, 0, 0, 375, 0, 0, 6, 56, 437
"d:\WP-1_HTML\Shop-Easy-main\react\build\asset-manifest.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 0, 15
"d:\WP-1_HTML\Shop-Easy-main\react\build\index.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\WP-1_HTML\Shop-Easy-main\react\build\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 1, 26
"d:\WP-1_HTML\Shop-Easy-main\react\build\static\css\main.d9776ebe.css", "PostCSS", 0, 1, 0, 0, 0, 0, 1, 0, 2
"d:\WP-1_HTML\Shop-Easy-main\react\build\static\js\453.0724d644.chunk.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 0, 2
"d:\WP-1_HTML\Shop-Easy-main\react\build\static\js\main.2fa8ceea.js", "JavaScript", 0, 0, 1, 0, 0, 0, 2, 0, 3
"d:\WP-1_HTML\Shop-Easy-main\react_proj\react-intro\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 33, 71
"d:\WP-1_HTML\Shop-Easy-main\react_proj\react-intro\package-lock.json", "JSON", 0, 0, 0, 0, 17261, 0, 0, 1, 17262
"d:\WP-1_HTML\Shop-Easy-main\react_proj\react-intro\package.json", "JSON", 0, 0, 0, 0, 40, 0, 0, 1, 41
"d:\WP-1_HTML\Shop-Easy-main\react_proj\react-intro\public\index.html", "HTML", 0, 0, 0, 21, 0, 0, 23, 1, 45
"d:\WP-1_HTML\Shop-Easy-main\react_proj\react-intro\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 1, 26
"d:\WP-1_HTML\Shop-Easy-main\react_proj\react-intro\src\App.css", "PostCSS", 0, 33, 0, 0, 0, 0, 0, 6, 39
"d:\WP-1_HTML\Shop-Easy-main\react_proj\react-intro\src\App.js", "JavaScript", 0, 0, 118, 0, 0, 0, 5, 34, 157
"d:\WP-1_HTML\Shop-Easy-main\react_proj\react-intro\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\WP-1_HTML\Shop-Easy-main\react_proj\react-intro\src\index.css", "PostCSS", 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\WP-1_HTML\Shop-Easy-main\react_proj\react-intro\src\index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 3, 3, 18
"d:\WP-1_HTML\Shop-Easy-main\react_proj\react-intro\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\WP-1_HTML\Shop-Easy-main\react_proj\react-intro\src\react-theme.css", "PostCSS", 0, 75, 0, 0, 0, 0, 34, 15, 124
"d:\WP-1_HTML\Shop-Easy-main\react_proj\react-intro\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\WP-1_HTML\Shop-Easy-main\react_proj\react-intro\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 4, 1, 6
"d:\WP-1_HTML\Shop-Easy-main\react_proj\react-intro\src\style.css", "PostCSS", 0, 543, 0, 0, 0, 0, 45, 76, 664
"d:\WP-1_HTML\Shop-Easy-main\register.html", "HTML", 0, 0, 0, 342, 0, 0, 4, 67, 413
"d:\WP-1_HTML\Shop-Easy-main\style.css", "PostCSS", 0, 543, 0, 0, 0, 0, 45, 78, 666
"Total", "-", 65, 1207, 152, 1492, 17366, 1, 191, 540, 21014
